sample_id,start,end,boundary,key,lForm,lemma,form,origchar,pos,cType,cForm,wType,tType,speaker,page
50-虎寛1792_06002,10,30,B,はら,ハラ,腹,ハラ,はら,名詞-普通名詞-一般,,,和,,,21
50-虎寛1792_06002,30,50,I,たて,タテル,立てる,タテ,たて,動詞-一般,文語下二段-タ行,未然形-一般,和,,,21
50-虎寛1792_06002,50,60,I,ず,ズ,ず,ズ,ず,助動詞,文語助動詞-ズ,終止形-一般,和,,,21
50-虎寛1792_06002,60,70,B,是,コレ,此れ,コレ,是,代名詞,,,和,会話,アド一,21
50-虎寛1792_06002,70,80,I,は,ハ,は,ワ,は,助詞-係助詞,,,和,会話,アド一,21
50-虎寛1792_06002,80,90,I,此,コノ,此の,コノ,此,連体詞,,,和,会話,アド一,21
50-虎寛1792_06002,90,110,I,当り,アタリ,辺り,アタリ,当り,名詞-普通名詞-副詞可能,,,和,会話,アド一,21
50-虎寛1792_06002,110,120,I,に,ニ,に,ニ,に,助詞-格助詞,,,和,会話,アド一,21
50-虎寛1792_06002,120,140,I,住居,スマイ,住まい,スマイ,住居,名詞-普通名詞-一般,,,和,会話,アド一,21
50-虎寛1792_06002,140,160,I,致す,イタス,致す,イタス,致す,動詞-非自立可能,文語四段-サ行,連体形-一般,和,会話,アド一,21
50-虎寛1792_06002,160,170,I,者,モノ,者,モノ,者,名詞-普通名詞-一般,,,和,会話,アド一,21
50-虎寛1792_06002,170,180,I,で,ナリ,なり,デ,で,助動詞,文語助動詞-ナリ-断定,連用形-融合,和,会話,アド一,21
50-虎寛1792_06002,180,210,I,御座る,ゴザル,御座る,ゴザル,御座る,動詞-非自立可能,文語四段-ラ行,終止形-一般,混,会話,アド一,21
50-虎寛1792_06002,210,220,I,。,,。,,。,補助記号-句点,,,記号,会話,アド一,21
50-虎寛1792_06002,220,230,B,某,ソレガシ,某,ソレガシ,某,代名詞,,,和,会話,アド一,21
50-虎寛1792_06002,230,240,I,志,ココロザシ,志,ココロザシ,志,名詞-普通名詞-一般,,,和,会話,アド一,21
50-虎寛1792_06002,240,250,I,の,ノ,の,ノ,の,助詞-格助詞,,,和,会話,アド一,21
50-虎寛1792_06002,250,270,I,深い,フカイ,深い,フカイ,深い,形容詞-一般,形容詞,連体形-一般,和,会話,アド一,21
