sample_id,start,end,boundary,key,lForm,lemma,form,origchar,pos,cType,cForm,wType,tType,speaker,page
50-虎寛1792_06009,10,40,B,なとり,ナトリ,ナトリ,ナトリ,なとり,名詞-固有名詞-地名-一般,,,固,,,72
50-虎寛1792_06009,40,60,I,がは,カワ,川,ガワ,がは,名詞-普通名詞-一般,,,和,,,72
50-虎寛1792_06009,60,80,B,次第,シダイ,次第,シダイ,次第,名詞-普通名詞-副詞可能,,,漢,割書き,,72
50-虎寛1792_06009,80,100,I,なし,ナシ,無し,ナシ,なし,名詞-普通名詞-一般,,,和,割書き,,72
50-虎寛1792_06009,100,110,I,に,ニ,に,ニ,に,助詞-格助詞,,,和,割書き,,72
50-虎寛1792_06009,110,120,I,も,モ,も,モ,も,助詞-係助詞,,,和,割書き,,72
50-虎寛1792_06009,120,140,B,次第,シダイ,次第,シダイ,次第,名詞-普通名詞-副詞可能,,,漢,割書き,,72
50-虎寛1792_06009,140,160,B,戒壇,カイダン,戒壇,カイダン,戒壇,名詞-普通名詞-一般,,,漢,会話,シテ,72
50-虎寛1792_06009,160,180,I,ふん,フム,踏む,フン,ふん,動詞-一般,文語四段-マ行,連用形-撥音便,和,会話,シテ,72
50-虎寛1792_06009,180,190,I,で,テ,て,デ,で,助詞-接続助詞,,,和,会話,シテ,72
50-虎寛1792_06009,190,210,I,受戒,ジュカイ,受戒,ジュカイ,受戒,名詞-普通名詞-サ変可能,,,漢,会話,シテ,72
50-虎寛1792_06009,210,220,I,し,スル,為る,シ,し,動詞-非自立可能,文語サ行変格,連用形-一般,和,会話,シテ,72
50-虎寛1792_06009,220,230,I,て,テ,て,テ,て,助詞-接続助詞,,,和,会話,シテ,72
50-虎寛1792_06009,230,240,I,、,,、,,、,補助記号-読点,,,記号,会話,シテ,72
50-虎寛1792_06009,240,260,I,〳〵,,〳〵,,〳〵,補助記号-一般,,,記号,会話,シテ,72
50-虎寛1792_06009,260,270,I,、,,、,,、,補助記号-読点,,,記号,会話,シテ,72
50-虎寛1792_06009,270,280,I,吾,ワガ,我が,ワガ,吾,連体詞,,,和,会話,シテ,72
