sample_id,start,end,boundary,key,lForm,lemma,form,origchar,pos,cType,cForm,wType,tType,speaker,page
50-虎寛1792_04009,10,30,B,ふな,フネ,船,フナ,ふな,名詞-普通名詞-一般,,,和,,,252
50-虎寛1792_04009,30,60,I,わたし,ワタシ,渡し,ワタシ,わたし,名詞-普通名詞-一般,,,和,,,252
50-虎寛1792_04009,60,80,I,むこ,ムコ,婿,ムコ,むこ,名詞-普通名詞-一般,,,和,,,252
50-虎寛1792_04009,80,90,B,初,ショ,初,ショ,初,接頭辞,,,漢,割書き,,252
50-虎寛1792_04009,90,120,I,しうと,シュウト,舅,シュート,しうと,名詞-普通名詞-一般,,,和,割書き,,252
50-虎寛1792_04009,120,130,I,出,イデル,出でる,イデ,出,動詞-一般,文語下二段-ダ行,連用形-一般,和,割書き,,252
50-虎寛1792_04009,130,140,I,て,テ,て,テ,て,助詞-接続助詞,,,和,割書き,,252
50-虎寛1792_04009,140,150,I,常,ツネ,常,ツネ,常,名詞-普通名詞-一般,,,和,割書き,,252
50-虎寛1792_04009,150,160,I,の,ノ,の,ノ,の,助詞-格助詞,,,和,割書き,,252
50-虎寛1792_04009,160,190,I,ごとく,ゴトシ,ごとし,ゴトク,ごとく,助動詞,文語助動詞-ゴトシ,連用形-一般,和,割書き,,252
50-虎寛1792_04009,190,210,I,云付,イイツケル,言い付ける,イーツケ,云付,動詞-一般,文語下二段-カ行,連用形-一般,和,割書き,,252
50-虎寛1792_04009,210,220,I,て,テ,て,テ,て,助詞-接続助詞,,,和,割書き,,252
50-虎寛1792_04009,220,240,I,座付,ザツキ,座付き,ザツキ,座付,名詞-普通名詞-一般,,,混,割書き,,252
50-虎寛1792_04009,240,250,I,。,,。,,。,補助記号-句点,,,記号,割書き,,252
50-虎寛1792_04009,250,260,B,是,コレ,此れ,コレ,是,代名詞,,,和,会話,シテ,252
50-虎寛1792_04009,260,270,I,は,ハ,は,ワ,は,助詞-係助詞,,,和,会話,シテ,252
50-虎寛1792_04009,270,280,I,人,ヒト,人,ヒト,人,名詞-普通名詞-一般,,,和,会話,シテ,252
50-虎寛1792_04009,280,290,I,の,ノ,の,ノ,の,助詞-格助詞,,,和,会話,シテ,252
50-虎寛1792_04009,290,320,I,いとし,イトシイ,愛しい,イトシ,いとし,形容詞-一般,形容詞,語幹-一般,和,会話,シテ,252
50-虎寛1792_04009,320,340,I,がる,ガル,がる,ガル,がる,接尾辞-動詞的,文語四段-ラ行,連体形-一般,和,会話,シテ,252
50-虎寛1792_04009,340,360,I,花婿,ハナムコ,花婿,ハナムコ,花婿,名詞-普通名詞-一般,,,和,会話,シテ,252
50-虎寛1792_04009,360,370,I,で,ナリ,なり,デ,で,助動詞,文語助動詞-ナリ-断定,連用形-融合,和,会話,シテ,252
50-虎寛1792_04009,370,400,I,御ざる,ゴザル,御座る,ゴザル,御ざる,動詞-非自立可能,文語四段-ラ行,終止形-一般,混,会話,シテ,252
50-虎寛1792_04009,400,410,I,。,,。,,。,補助記号-句点,,,記号,会話,シテ,252
50-虎寛1792_04009,410,430,B,今日,コンニチ,今日,コンニチ,今日,名詞-普通名詞-副詞可能,,,漢,会話,シテ,252
50-虎寛1792_04009,430,440,I,は,ハ,は,ワ,は,助詞-係助詞,,,和,会話,シテ,252
50-虎寛1792_04009,440,460,I,最上,サイジョウ,最上,サイジョー,最上,名詞-普通名詞-一般,,,漢,会話,シテ,252
50-虎寛1792_04009,460,480,I,吉日,キツジツ,吉日,キチニチ,吉日,名詞-普通名詞-一般,,,漢,会話,シテ,252
