sample_id,start,end,boundary,key,lForm,lemma,form,origchar,pos,cType,cForm,wType,tType,speaker,page
50-虎寛1792_04007,10,70,B,にはとりむこ,ニワトリムコ,鶏婿,ニワトリムコ,にはとりむこ,名詞-普通名詞-一般,,,和,,,236
50-虎寛1792_04007,70,100,B,しうと,シュウト,舅,シュート,しうと,名詞-普通名詞-一般,,,和,割書き,,236
50-虎寛1792_04007,100,110,I,出,イデル,出でる,イデ,出,動詞-一般,文語下二段-ダ行,連用形-一般,和,割書き,,236
50-虎寛1792_04007,110,120,I,て,テ,て,テ,て,助詞-接続助詞,,,和,割書き,,236
50-虎寛1792_04007,120,130,I,、,,、,,、,補助記号-読点,,,記号,割書き,,236
50-虎寛1792_04007,130,150,I,名乗,ナノリ,名乗り,ナノリ,名乗,名詞-普通名詞-一般,,,和,割書き,,236
50-虎寛1792_04007,150,160,I,其,ソノ,其の,ソノ,其,連体詞,,,和,割書き,,236
50-虎寛1792_04007,160,170,I,外,ホカ,他,ホカ,外,名詞-普通名詞-副詞可能,,,和,割書き,,236
50-虎寛1792_04007,170,180,I,前,マエ,前,マエ,前,名詞-普通名詞-副詞可能,,,和,割書き,,236
50-虎寛1792_04007,180,190,I,に,ニ,に,ニ,に,助詞-格助詞,,,和,割書き,,236
50-虎寛1792_04007,190,210,I,同じ,オナジ,同じ,オナジ,同じ,連体詞,,,和,割書き,,236
50-虎寛1792_04007,210,220,I,。,,。,,。,補助記号-句点,,,記号,割書き,,236
50-虎寛1792_04007,220,230,B,婿,ムコ,婿,ムコ,婿,名詞-普通名詞-一般,,,和,割書き,,236
50-虎寛1792_04007,230,250,I,名乗,ナノリ,名乗り,ナノリ,名乗,名詞-普通名詞-一般,,,和,割書き,,236
50-虎寛1792_04007,250,270,I,道行,ミチユキ,道行,ミチユキ,道行,名詞-普通名詞-一般,,,和,割書き,,236
50-虎寛1792_04007,270,280,I,、,,、,,、,補助記号-読点,,,記号,割書き,,236
50-虎寛1792_04007,280,290,I,其,ソノ,其の,ソノ,其,連体詞,,,和,割書き,,236
50-虎寛1792_04007,290,300,I,外,ホカ,他,ホカ,外,名詞-普通名詞-副詞可能,,,和,割書き,,236
50-虎寛1792_04007,300,320,I,仕付,シツケ,仕付け,シツケ,仕付,名詞-普通名詞-一般,,,和,割書き,,236
50-虎寛1792_04007,320,340,I,様体,ヨウダイ,容態,ヨーダイ,様体,名詞-普通名詞-一般,,,漢,割書き,,236
50-虎寛1792_04007,340,350,I,を,ヲ,を,オ,を,助詞-格助詞,,,和,割書き,,236
50-虎寛1792_04007,350,370,I,習ふ,ナラウ,習う,ナラウ,習ふ,動詞-一般,文語四段-ハ行,連体形-一般,和,割書き,,236
50-虎寛1792_04007,370,380,I,迄,マデ,まで,マデ,迄,助詞-副助詞,,,和,割書き,,236
50-虎寛1792_04007,380,390,I,は,ハ,は,ワ,は,助詞-係助詞,,,和,割書き,,236
50-虎寛1792_04007,390,410,I,諸事,ショジ,諸事,ショジ,諸事,名詞-普通名詞-一般,,,漢,割書き,,236
50-虎寛1792_04007,410,430,I,音曲,オンギョク,音曲,オンギョク,音曲,名詞-普通名詞-一般,,,漢,割書き,,236
50-虎寛1792_04007,430,450,I,むこ,ムコ,婿,ムコ,むこ,名詞-普通名詞-一般,,,和,割書き,,236
50-虎寛1792_04007,450,470,I,同断,ドウダン,同断,ドーダン,同断,名詞-普通名詞-一般,,,漢,割書き,,236
50-虎寛1792_04007,470,480,I,。,,。,,。,補助記号-句点,,,記号,割書き,,236
50-虎寛1792_04007,480,510,B,和御料,ワゴリョ,我御寮,ワゴリョ,和御料,代名詞,,,混,会話,教へ手,236
50-虎寛1792_04007,510,520,I,は,ハ,は,ワ,は,助詞-係助詞,,,和,会話,教へ手,236
50-虎寛1792_04007,520,540,I,婿入,ムコイリ,婿入り,ムコイリ,婿入,名詞-普通名詞-一般,,,和,会話,教へ手,236
50-虎寛1792_04007,540,550,I,を,ヲ,を,オ,を,助詞-格助詞,,,和,会話,教へ手,236
50-虎寛1792_04007,550,570,I,すれ,スル,為る,スレ,すれ,動詞-非自立可能,文語サ行変格,已然形-一般,和,会話,教へ手,236
50-虎寛1792_04007,570,580,I,ば,バ,ば,バ,ば,助詞-接続助詞,,,和,会話,教へ手,236
50-虎寛1792_04007,580,600,I,分別,フンベツ,分別,フンベツ,分別,名詞-普通名詞-サ変可能,,,漢,会話,教へ手,236
50-虎寛1792_04007,600,610,I,迄,マデ,まで,マデ,迄,助詞-副助詞,,,和,会話,教へ手,236
50-虎寛1792_04007,610,620,I,が,ガ,が,ガ,が,助詞-格助詞,,,和,会話,教へ手,236
50-虎寛1792_04007,620,630,I,上,アガル,上がる,アガッ,上,動詞-一般,文語四段-ラ行,連用形-促音便,和,会話,教へ手,236
50-虎寛1792_04007,630,640,I,た,タ,た,タ,た,助動詞,助動詞-タ,終止形-一般,和,会話,教へ手,236
50-虎寛1792_04007,640,650,I,。,,。,,。,補助記号-句点,,,記号,会話,教へ手,236
50-虎寛1792_04007,650,660,B,先,マズ,先ず,マズ,先,副詞,,,和,会話,教へ手,236
50-虎寛1792_04007,660,670,I,舅,シュウト,舅,シュート,舅,名詞-普通名詞-一般,,,和,会話,教へ手,236
50-虎寛1792_04007,670,680,I,の,ノ,の,ノ,の,助詞-格助詞,,,和,会話,教へ手,236
50-虎寛1792_04007,680,700,I,門外,モンガイ,門外,モンガイ,門外,名詞-普通名詞-一般,,,漢,会話,教へ手,236
50-虎寛1792_04007,700,710,I,へ,ヘ,へ,エ,へ,助詞-格助詞,,,和,会話,教へ手,236
50-虎寛1792_04007,710,720,I,い,イク,行く,イ,い,動詞-非自立可能,文語四段-カ行,連用形-省略,和,会話,教へ手,236
50-虎寛1792_04007,720,730,I,て,テ,て,テ,て,助詞-接続助詞,,,和,会話,教へ手,236
50-虎寛1792_04007,730,740,I,、,,、,,、,補助記号-読点,,,記号,会話,教へ手,236
50-虎寛1792_04007,740,750,I,鶏,ニワトリ,鶏,ニワトリ,鶏,名詞-普通名詞-一般,,,和,会話,教へ手,236
50-虎寛1792_04007,750,760,I,の,ノ,の,ノ,の,助詞-格助詞,,,和,会話,教へ手,236
