sample_id,start,end,boundary,key,lForm,lemma,form,origchar,pos,cType,cForm,wType,tType,speaker,page
50-虎寛1792_01009,10,30,B,連歌,レンガ,連歌,レンガ,連歌,名詞-普通名詞-一般,,,漢,,,143
50-虎寛1792_01009,30,60,I,毘沙門,ビシャモン,毘沙門,ビシャモン,毘沙門,名詞-固有名詞-一般,,,固,,,143
50-虎寛1792_01009,60,80,B,罷出,マカリイデル,罷り出でる,マカリイデ,罷出,動詞-一般,文語下二段-ダ行,連用形-一般,和,会話,一のアド,143
50-虎寛1792_01009,80,100,I,たる,タリ,たり,タル,たる,助動詞,文語助動詞-タリ-完了,連体形-一般,和,会話,一のアド,143
50-虎寛1792_01009,100,110,I,者,モノ,者,モノ,者,名詞-普通名詞-一般,,,和,会話,一のアド,143
50-虎寛1792_01009,110,120,I,は,ハ,は,ワ,は,助詞-係助詞,,,和,会話,一のアド,143
50-虎寛1792_01009,120,130,I,、,,、,,、,補助記号-読点,,,記号,会話,一のアド,143
50-虎寛1792_01009,130,140,I,此,コノ,此の,コノ,此,連体詞,,,和,会話,一のアド,143
50-虎寛1792_01009,140,160,I,当り,アタリ,辺り,アタリ,当り,名詞-普通名詞-副詞可能,,,和,会話,一のアド,143
50-虎寛1792_01009,160,170,I,に,ニ,に,ニ,に,助詞-格助詞,,,和,会話,一のアド,143
50-虎寛1792_01009,170,190,I,住居,スマイ,住まい,スマイ,住居,名詞-普通名詞-一般,,,和,会話,一のアド,143
50-虎寛1792_01009,190,210,I,致す,イタス,致す,イタス,致す,動詞-非自立可能,文語四段-サ行,連体形-一般,和,会話,一のアド,143
50-虎寛1792_01009,210,220,I,者,モノ,者,モノ,者,名詞-普通名詞-一般,,,和,会話,一のアド,143
50-虎寛1792_01009,220,230,I,で,ナリ,なり,デ,で,助動詞,文語助動詞-ナリ-断定,連用形-融合,和,会話,一のアド,143
50-虎寛1792_01009,230,260,I,御座る,ゴザル,御座る,ゴザル,御座る,動詞-非自立可能,文語四段-ラ行,終止形-一般,混,会話,一のアド,143
50-虎寛1792_01009,260,270,I,。,,。,,。,補助記号-句点,,,記号,会話,一のアド,143
50-虎寛1792_01009,270,290,B,今日,コンニチ,今日,コンニチ,今日,名詞-普通名詞-副詞可能,,,漢,会話,一のアド,143
50-虎寛1792_01009,290,300,I,は,ハ,は,ワ,は,助詞-係助詞,,,和,会話,一のアド,143
50-虎寛1792_01009,300,330,I,はつ寅,ハツトラ,初寅,ハツトラ,はつ寅,名詞-普通名詞-一般,,,和,会話,一のアド,143
50-虎寛1792_01009,330,340,I,で,ナリ,なり,デ,で,助動詞,文語助動詞-ナリ-断定,連用形-融合,和,会話,一のアド,143
50-虎寛1792_01009,340,370,I,御ざる,ゴザル,御座る,ゴザル,御ざる,動詞-非自立可能,文語四段-ラ行,連体形-一般,混,会話,一のアド,143
50-虎寛1792_01009,370,380,I,に,ニ,に,ニ,に,助詞-格助詞,,,和,会話,一のアド,143
50-虎寛1792_01009,380,390,I,依,ヨル,因る,ヨッ,依,動詞-一般,文語四段-ラ行,連用形-促音便,和,会話,一のアド,143
50-虎寛1792_01009,390,400,I,て,テ,て,テ,て,助詞-接続助詞,,,和,会話,一のアド,143
50-虎寛1792_01009,400,410,I,、,,、,,、,補助記号-読点,,,記号,会話,一のアド,143
50-虎寛1792_01009,410,430,I,鞍馬,クラマ,クラマ,クラマ,鞍馬,名詞-固有名詞-地名-一般,,,固,会話,一のアド,143
