sample_id,start,end,boundary,key,lForm,lemma,form,origchar,pos,cType,cForm,wType,tType,speaker,page
50-虎寛1792_01013,10,20,B,鍋,ナベ,鍋,ナベ,鍋,名詞-普通名詞-一般,,,和,,,157
50-虎寛1792_01013,20,40,I,八撥,ヤツバチ,八撥,ヤツバチ,八撥,名詞-普通名詞-一般,,,和,,,157
50-虎寛1792_01013,40,60,B,罷出,マカリイデル,罷り出でる,マカリイデ,罷出,動詞-一般,文語下二段-ダ行,連用形-一般,和,会話,目代,157
50-虎寛1792_01013,60,80,I,たる,タリ,たり,タル,たる,助動詞,文語助動詞-タリ-完了,連体形-一般,和,会話,目代,157
50-虎寛1792_01013,80,90,I,者,モノ,者,モノ,者,名詞-普通名詞-一般,,,和,会話,目代,157
50-虎寛1792_01013,90,100,I,は,ハ,は,ワ,は,助詞-係助詞,,,和,会話,目代,157
50-虎寛1792_01013,100,110,I,、,,、,,、,補助記号-読点,,,記号,会話,目代,157
50-虎寛1792_01013,110,120,I,此,コノ,此の,コノ,此,連体詞,,,和,会話,目代,157
50-虎寛1792_01013,120,130,I,処,トコロ,所,トコロ,処,名詞-普通名詞-副詞可能,,,和,会話,目代,157
50-虎寛1792_01013,130,140,I,の,ノ,の,ノ,の,助詞-格助詞,,,和,会話,目代,157
50-虎寛1792_01013,140,160,I,目代,モクダイ,目代,モクダイ,目代,名詞-普通名詞-一般,,,漢,会話,目代,157
50-虎寛1792_01013,160,170,I,で,ナリ,なり,デ,で,助動詞,文語助動詞-ナリ-断定,連用形-融合,和,会話,目代,157
50-虎寛1792_01013,170,200,I,御座る,ゴザル,御座る,ゴザル,御座る,動詞-非自立可能,文語四段-ラ行,終止形-一般,混,会話,目代,157
50-虎寛1792_01013,200,210,I,。,,。,,。,補助記号-句点,,,記号,会話,目代,157
50-虎寛1792_01013,210,230,B,天下,テンカ,天下,テンガ,天下,名詞-普通名詞-一般,,,漢,会話,目代,157
50-虎寛1792_01013,230,250,I,治り,オサマル,収まる,オサマリ,治り,動詞-一般,文語四段-ラ行,連用形-一般,和,会話,目代,157
50-虎寛1792_01013,250,260,I,、,,、,,、,補助記号-読点,,,記号,会話,目代,157
50-虎寛1792_01013,260,300,I,目出度い,メデタイ,めでたい,メデタイ,目出度い,形容詞-一般,形容詞,連体形-一般,和,会話,目代,157
50-虎寛1792_01013,300,320,I,御代,ミヨ,御代,ミヨ,御代,名詞-普通名詞-一般,,,和,会話,目代,157
50-虎寛1792_01013,320,330,I,で,ナリ,なり,デ,で,助動詞,文語助動詞-ナリ-断定,連用形-融合,和,会話,目代,157
50-虎寛1792_01013,330,360,I,御座れ,ゴザル,御座る,ゴザレ,御座れ,動詞-非自立可能,文語四段-ラ行,已然形-一般,混,会話,目代,157
50-虎寛1792_01013,360,370,I,ば,バ,ば,バ,ば,助詞-接続助詞,,,和,会話,目代,157
50-虎寛1792_01013,370,380,I,、,,、,,、,補助記号-読点,,,記号,会話,目代,157
50-虎寛1792_01013,380,400,I,国々,クニグニ,国々,クニグニ,国々,名詞-普通名詞-一般,,,和,会話,目代,157
50-虎寛1792_01013,400,410,I,に,ニ,に,ニ,に,助詞-格助詞,,,和,会話,目代,157
50-虎寛1792_01013,410,420,I,市,イチ,市,イチ,市,名詞-普通名詞-一般,,,和,会話,目代,157
50-虎寛1792_01013,420,440,I,数多,アマタ,数多,アマタ,数多,副詞,,,和,会話,目代,157
50-虎寛1792_01013,440,460,I,有る,アル,有る,アル,有る,動詞-非自立可能,文語ラ行変格,連体形-一般,和,会話,目代,157
50-虎寛1792_01013,460,470,I,、,,、,,、,補助記号-読点,,,記号,会話,目代,157
50-虎寛1792_01013,470,480,I,中,ナカ,中,ナカ,中,名詞-普通名詞-副詞可能,,,和,会話,目代,157
50-虎寛1792_01013,480,490,I,に,ニ,に,ニ,に,助詞-格助詞,,,和,会話,目代,157
50-虎寛1792_01013,490,500,I,も,モ,も,モ,も,助詞-係助詞,,,和,会話,目代,157
50-虎寛1792_01013,500,510,I,此,コノ,此の,コノ,此,連体詞,,,和,会話,目代,157
50-虎寛1792_01013,510,520,I,所,トコロ,所,トコロ,所,名詞-普通名詞-副詞可能,,,和,会話,目代,157
50-虎寛1792_01013,520,530,I,御,ゴ,御,ゴ,御,接頭辞,,,漢,会話,目代,157
50-虎寛1792_01013,530,550,I,富貴,フウキ,富貴,フッキ,富貴,名詞-普通名詞-形状詞可能,,,漢,会話,目代,157
50-虎寛1792_01013,550,560,I,に,ナリ,なり,ニ,に,助動詞,文語助動詞-ナリ-断定,連用形-ニ,和,会話,目代,157
50-虎寛1792_01013,560,570,I,付,ツク,付く,ツキ,付,動詞-非自立可能,文語四段-カ行,連用形-一般,和,会話,目代,157
50-虎寛1792_01013,570,580,I,、,,、,,、,補助記号-読点,,,記号,会話,目代,157
50-虎寛1792_01013,580,600,I,新市,シンイチ,新市,シンイチ,新市,名詞-普通名詞-一般,,,混,会話,目代,157
50-虎寛1792_01013,600,610,I,を,ヲ,を,オ,を,助詞-格助詞,,,和,会話,目代,157
50-虎寛1792_01013,610,620,I,御,オ,御,オ,御,接頭辞,,,和,会話,目代,157
50-虎寛1792_01013,620,630,I,立,タテル,立てる,タテ,立,動詞-一般,文語下二段-タ行,連用形-一般,和,会話,目代,157
50-虎寛1792_01013,630,650,I,被成,ナサレル,為される,ナサレ,被成,動詞-非自立可能,文語下二段-ラ行,連用形-一般,和,会話,目代,157
50-虎寛1792_01013,650,660,I,、,,、,,、,補助記号-読点,,,記号,会話,目代,157
50-虎寛1792_01013,660,680,I,何者,ナニモノ,何者,ナニモノ,何者,名詞-普通名詞-一般,,,和,会話,目代,157
50-虎寛1792_01013,680,690,I,に,ニ,に,ニ,に,助詞-格助詞,,,和,会話,目代,157
50-虎寛1792_01013,690,700,I,は,ハ,は,ワ,は,助詞-係助詞,,,和,会話,目代,157
50-虎寛1792_01013,700,720,I,よる,ヨル,因る,ヨル,よる,動詞-一般,文語四段-ラ行,終止形-一般,和,会話,目代,157
50-虎寛1792_01013,720,740,I,まい,マイ,まい,マイ,まい,助動詞,助動詞-マイ,連体形-一般,和,会話,目代,157
50-虎寛1792_01013,740,760,I,早々,ソウソウ,早々,ソーソー,早々,名詞-普通名詞-副詞可能,,,漢,会話,目代,157
50-虎寛1792_01013,760,780,I,参り,マイル,参る,マイリ,参り,動詞-非自立可能,文語四段-ラ行,連用形-一般,和,会話,目代,157
50-虎寛1792_01013,780,790,I,、,,、,,、,補助記号-読点,,,記号,会話,目代,157
50-虎寛1792_01013,790,800,I,一,イチ,一,イチ,一,名詞-数詞,,,漢,会話,目代,157
50-虎寛1792_01013,800,810,I,の,ノ,の,ノ,の,助詞-格助詞,,,和,会話,目代,157
50-虎寛1792_01013,810,820,I,店,タナ,店,タナ,店,名詞-普通名詞-一般,,,和,会話,目代,157
50-虎寛1792_01013,820,830,I,に,ニ,に,ニ,に,助詞-格助詞,,,和,会話,目代,157
50-虎寛1792_01013,830,840,I,着,キル,着る,キ,着,動詞-一般,文語上一段-カ行,連用形-一般,和,会話,目代,157
50-虎寛1792_01013,840,850,I,た,タ,た,タ,た,助動詞,助動詞-タ,連体形-一般,和,会話,目代,157
50-虎寛1792_01013,850,860,I,者,モノ,者,モノ,者,名詞-普通名詞-一般,,,和,会話,目代,157
50-虎寛1792_01013,860,870,I,を,ヲ,を,オ,を,助詞-格助詞,,,和,会話,目代,157
50-虎寛1792_01013,870,880,I,、,,、,,、,補助記号-読点,,,記号,会話,目代,157
50-虎寛1792_01013,880,900,I,末代,マツダイ,末代,マツダイ,末代,名詞-普通名詞-一般,,,漢,会話,目代,157
50-虎寛1792_01013,900,920,I,まで,マデ,まで,マデ,まで,助詞-副助詞,,,和,会話,目代,157
