sample_id,start,end,boundary,key,lForm,lemma,form,origchar,pos,cType,cForm,wType,tType,speaker,page
50-虎寛1792_02003,10,50,B,今まいり,イママイリ,今参り,イママイリ,今まいり,名詞-普通名詞-一般,,,和,,,231
50-虎寛1792_02003,50,70,B,遠国,オンゴク,遠国,オンゴク,遠国,名詞-普通名詞-一般,,,漢,会話,シテ,231
50-虎寛1792_02003,70,80,I,に,ニ,に,ニ,に,助詞-格助詞,,,和,会話,シテ,231
50-虎寛1792_02003,80,110,I,かくれ,カクレ,隠れ,カクレ,かくれ,名詞-普通名詞-一般,,,和,会話,シテ,231
50-虎寛1792_02003,110,120,I,も,モ,も,モ,も,助詞-係助詞,,,和,会話,シテ,231
50-虎寛1792_02003,120,140,I,ない,ナイ,無い,ナイ,ない,形容詞-非自立可能,形容詞,連体形-一般,和,会話,シテ,231
50-虎寛1792_02003,140,160,I,大名,ダイミョウ,大名,ダイミョー,大名,名詞-普通名詞-一般,,,漢,会話,シテ,231
50-虎寛1792_02003,160,180,I,です,デス,です,デス,です,助動詞,助動詞-デス,終止形-一般,和,会話,シテ,231
50-虎寛1792_02003,180,190,I,。,,。,,。,補助記号-句点,,,記号,会話,シテ,231
50-虎寛1792_02003,190,210,B,加様,カヨウ,斯様,カヨー,加様,形状詞-一般,,,混,会話,シテ,231
50-虎寛1792_02003,210,220,I,に,ナリ,なり,ニ,に,助動詞,文語助動詞-ナリ-断定,連用形-ニ,和,会話,シテ,231
50-虎寛1792_02003,220,230,I,過,アヤマチ,過ち,アヤマチ,過,名詞-普通名詞-一般,,,和,会話,シテ,231
50-虎寛1792_02003,230,250,I,をば,ヲバ,をば,オバ,をば,助詞-格助詞,,,和,会話,シテ,231
50-虎寛1792_02003,250,270,I,申せ,モウス,申す,モーセ,申せ,動詞-非自立可能,文語四段-サ行,已然形-一般,和,会話,シテ,231
50-虎寛1792_02003,270,280,I,共,ドモ,ども,ドモ,共,助詞-接続助詞,,,和,会話,シテ,231
50-虎寛1792_02003,280,290,I,、,,、,,、,補助記号-読点,,,記号,会話,シテ,231
50-虎寛1792_02003,290,320,I,召遣ふ,メシツカウ,召し使う,メシツカウ,召遣ふ,動詞-一般,文語四段-ハ行,連体形-一般,和,会話,シテ,231
50-虎寛1792_02003,320,330,I,者,モノ,者,モノ,者,名詞-普通名詞-一般,,,和,会話,シテ,231
50-虎寛1792_02003,330,340,I,は,ハ,は,ワ,は,助詞-係助詞,,,和,会話,シテ,231
50-虎寛1792_02003,340,350,I,唯,タダ,唯,タダ,唯,副詞,,,和,会話,シテ,231
50-虎寛1792_02003,350,360,I,一,イチ,一,イチ,一,名詞-数詞,,,漢,会話,シテ,231
50-虎寛1792_02003,360,370,I,人,ニン,人,ニン,人,接尾辞-名詞的-一般,,,漢,会話,シテ,231
50-虎寛1792_02003,370,380,I,で,ナリ,なり,デ,で,助動詞,文語助動詞-ナリ-断定,連用形-融合,和,会話,シテ,231
50-虎寛1792_02003,380,410,I,御座る,ゴザル,御座る,ゴザル,御座る,動詞-非自立可能,文語四段-ラ行,終止形-一般,混,会話,シテ,231
50-虎寛1792_02003,410,420,I,。,,。,,。,補助記号-句点,,,記号,会話,シテ,231
50-虎寛1792_02003,420,430,B,一,イチ,一,イチ,一,名詞-数詞,,,漢,会話,シテ,231
50-虎寛1792_02003,430,440,I,人,ニン,人,ニン,人,接尾辞-名詞的-一般,,,漢,会話,シテ,231
50-虎寛1792_02003,440,450,I,で,ナリ,なり,デ,で,助動詞,文語助動詞-ナリ-断定,連用形-融合,和,会話,シテ,231
50-虎寛1792_02003,450,460,I,は,ハ,は,ワ,は,助詞-係助詞,,,和,会話,シテ,231
50-虎寛1792_02003,460,480,I,遣ひ,ツカウ,使う,ツカイ,遣ひ,動詞-一般,文語四段-ハ行,連用形-一般,和,会話,シテ,231
50-虎寛1792_02003,480,500,I,たら,タル,足る,タラ,たら,動詞-一般,文語四段-ラ行,未然形-一般,和,会話,シテ,231
50-虎寛1792_02003,500,510,I,ぬ,ズ,ず,ヌ,ぬ,助動詞,文語助動詞-ズ,連体形-一般,和,会話,シテ,231
50-虎寛1792_02003,510,520,I,に,ニ,に,ニ,に,助詞-格助詞,,,和,会話,シテ,231
50-虎寛1792_02003,520,530,I,依,ヨル,因る,ヨッ,依,動詞-一般,文語四段-ラ行,連用形-促音便,和,会話,シテ,231
50-虎寛1792_02003,530,540,I,て,テ,て,テ,て,助詞-接続助詞,,,和,会話,シテ,231
50-虎寛1792_02003,540,550,I,、,,、,,、,補助記号-読点,,,記号,会話,シテ,231
50-虎寛1792_02003,550,570,I,新参,シンザン,新参,シンザン,新参,名詞-普通名詞-一般,,,漢,会話,シテ,231
50-虎寛1792_02003,570,580,I,の,ノ,の,ノ,の,助詞-格助詞,,,和,会話,シテ,231
50-虎寛1792_02003,580,590,I,者,モノ,者,モノ,者,名詞-普通名詞-一般,,,和,会話,シテ,231
50-虎寛1792_02003,590,600,I,を,ヲ,を,オ,を,助詞-格助詞,,,和,会話,シテ,231
50-虎寛1792_02003,600,630,I,あまた,アマタ,数多,アマタ,あまた,副詞,,,和,会話,シテ,231
50-虎寛1792_02003,630,640,I,抱,カカエル,抱える,カカエ,抱,動詞-一般,文語下二段-ハ行,未然形-一般,和,会話,シテ,231
50-虎寛1792_02003,640,650,I,う,ウ,う,ウ,う,助動詞,無変化型,終止形-一般,和,会話,シテ,231
50-虎寛1792_02003,650,660,I,と,ト,と,ト,と,助詞-格助詞,,,和,会話,シテ,231
50-虎寛1792_02003,660,680,I,存る,ゾンズル,存ずる,ゾンズル,存る,動詞-一般,文語サ行変格,連体形-一般,混,会話,シテ,231
50-虎寛1792_02003,680,690,I,。,,。,,。,補助記号-句点,,,記号,会話,シテ,231
50-虎寛1792_02003,690,700,B,先,マズ,先ず,マズ,先,副詞,,,和,会話,シテ,231
50-虎寛1792_02003,700,720,I,太郎,タロウ,太郎,タロー,太郎,名詞-普通名詞-一般,,,漢,会話,シテ,231
50-虎寛1792_02003,720,760,I,くはじや,カジャ,冠者,カジャ,くはじや,名詞-普通名詞-一般,,,漢,会話,シテ,231
50-虎寛1792_02003,760,770,I,を,ヲ,を,オ,を,助詞-格助詞,,,和,会話,シテ,231
50-虎寛1792_02003,770,800,I,呼出い,ヨビイダス,呼び出だす,ヨビイダイ,呼出い,動詞-一般,文語四段-サ行,連用形-イ音便,和,会話,シテ,231
50-虎寛1792_02003,800,810,I,て,テ,て,テ,て,助詞-接続助詞,,,和,会話,シテ,231
50-虎寛1792_02003,810,830,I,申付,モウシツケル,申し付ける,モーシツケ,申付,動詞-一般,文語下二段-カ行,未然形-一般,和,会話,シテ,231
50-虎寛1792_02003,830,840,I,う,ウ,う,ウ,う,助動詞,無変化型,終止形-一般,和,会話,シテ,231
50-虎寛1792_02003,840,850,I,。,,。,,。,補助記号-句点,,,記号,会話,シテ,231
50-虎寛1792_02003,850,890,B,やい〳〵,ヤイヤイ,やいやい,ヤイヤイ,やい〳〵,副詞,,,和,会話,シテ,231
50-虎寛1792_02003,890,900,I,、,,、,,、,補助記号-読点,,,記号,会話,シテ,231
