sample_id,start,end,boundary,key,lForm,lemma,form,origchar,pos,cType,cForm,wType,tType,speaker,page
50-虎寛1792_07008,10,30,B,さん,サン,三,サン,さん,名詞-数詞,,,漢,,,221
50-虎寛1792_07008,30,50,I,にん,ニン,人,ニン,にん,接尾辞-名詞的-一般,,,漢,,,221
50-虎寛1792_07008,50,80,I,かたは,カタワ,片端,カタワ,かたは,名詞-普通名詞-一般,,,和,,,221
50-虎寛1792_07008,80,90,B,是,コレ,此れ,コレ,是,代名詞,,,和,会話,主,221
50-虎寛1792_07008,90,100,I,は,ハ,は,ワ,は,助詞-係助詞,,,和,会話,主,221
50-虎寛1792_07008,100,110,I,此,コノ,此の,コノ,此,連体詞,,,和,会話,主,221
50-虎寛1792_07008,110,130,I,当り,アタリ,辺り,アタリ,当り,名詞-普通名詞-副詞可能,,,和,会話,主,221
50-虎寛1792_07008,130,140,I,に,ニ,に,ニ,に,助詞-格助詞,,,和,会話,主,221
50-虎寛1792_07008,140,160,I,住居,スマイ,住まい,スマイ,住居,名詞-普通名詞-一般,,,和,会話,主,221
50-虎寛1792_07008,160,180,I,致す,イタス,致す,イタス,致す,動詞-非自立可能,文語四段-サ行,連体形-一般,和,会話,主,221
50-虎寛1792_07008,180,190,I,者,モノ,者,モノ,者,名詞-普通名詞-一般,,,和,会話,主,221
50-虎寛1792_07008,190,200,I,で,ナリ,なり,デ,で,助動詞,文語助動詞-ナリ-断定,連用形-融合,和,会話,主,221
50-虎寛1792_07008,200,230,I,御座る,ゴザル,御座る,ゴザル,御座る,動詞-非自立可能,文語四段-ラ行,終止形-一般,混,会話,主,221
50-虎寛1792_07008,230,240,I,。,,。,,。,補助記号-句点,,,記号,会話,主,221
50-虎寛1792_07008,240,250,B,某,ソレガシ,某,ソレガシ,某,代名詞,,,和,会話,主,221
50-虎寛1792_07008,250,270,I,存る,ゾンズル,存ずる,ゾンズル,存る,動詞-一般,文語サ行変格,連体形-一般,混,会話,主,221
50-虎寛1792_07008,270,290,I,子細,シサイ,子細,シサイ,子細,名詞-普通名詞-形状詞可能,,,漢,会話,主,221
50-虎寛1792_07008,290,300,I,有,アル,有る,アッ,有,動詞-非自立可能,文語ラ行変格,連用形-促音便,和,会話,主,221
50-虎寛1792_07008,300,310,I,て,テ,て,テ,て,助詞-接続助詞,,,和,会話,主,221
50-虎寛1792_07008,310,320,I,、,,、,,、,補助記号-読点,,,記号,会話,主,221
50-虎寛1792_07008,320,340,I,支離,シリ,支離,シリ,支離,名詞-普通名詞-一般,,,漢,会話,主,221
50-虎寛1792_07008,340,350,I,者,シャ,者,シャ,者,接尾辞-名詞的-一般,,,漢,会話,主,221
50-虎寛1792_07008,350,360,I,を,ヲ,を,オ,を,助詞-格助詞,,,和,会話,主,221
50-虎寛1792_07008,360,370,I,抱,カカエル,抱える,カカエ,抱,動詞-一般,文語下二段-ハ行,未然形-一般,和,会話,主,221
50-虎寛1792_07008,370,380,I,う,ウ,う,ウ,う,助動詞,無変化型,終止形-一般,和,会話,主,221
50-虎寛1792_07008,380,390,I,と,ト,と,ト,と,助詞-格助詞,,,和,会話,主,221
50-虎寛1792_07008,390,410,I,存る,ゾンズル,存ずる,ゾンズル,存る,動詞-一般,文語サ行変格,連体形-一般,混,会話,主,221
50-虎寛1792_07008,410,420,I,。,,。,,。,補助記号-句点,,,記号,会話,主,221
50-虎寛1792_07008,420,430,B,先,マズ,先ず,マズ,先,副詞,,,和,会話,主,221
50-虎寛1792_07008,430,440,I,此,コノ,此の,コノ,此,連体詞,,,和,会話,主,221
50-虎寛1792_07008,440,460,I,よし,ヨシ,由,ヨシ,よし,名詞-普通名詞-一般,,,和,会話,主,221
50-虎寛1792_07008,460,470,I,を,ヲ,を,オ,を,助詞-格助詞,,,和,会話,主,221
50-虎寛1792_07008,470,490,I,高札,タカフダ,高札,タカフダ,高札,名詞-普通名詞-一般,,,和,会話,主,221
50-虎寛1792_07008,490,500,I,に,ニ,に,ニ,に,助詞-格助詞,,,和,会話,主,221
50-虎寛1792_07008,500,510,I,打,ウツ,打つ,ウタ,打,動詞-一般,文語四段-タ行,未然形-一般,和,会話,主,221
50-虎寛1792_07008,510,520,I,う,ウ,う,ウ,う,助動詞,無変化型,終止形-一般,和,会話,主,221
50-虎寛1792_07008,520,530,I,。,,。,,。,補助記号-句点,,,記号,会話,主,221
50-虎寛1792_07008,530,550,B,仕手,シテ,仕手,シテ,仕手,名詞-普通名詞-一般,,,和,割書き,,221
50-虎寛1792_07008,550,560,I,柱,ハシラ,柱,バシラ,柱,名詞-普通名詞-一般,,,和,割書き,,221
50-虎寛1792_07008,560,570,I,へ,ヘ,へ,エ,へ,助詞-格助詞,,,和,割書き,,221
50-虎寛1792_07008,570,580,I,扇,オウギ,扇,オーギ,扇,名詞-普通名詞-一般,,,和,割書き,,221
50-虎寛1792_07008,580,600,I,にて,ニテ,にて,ニテ,にて,助詞-格助詞,,,和,割書き,,221
