sample_id,start,end,boundary,key,lForm,lemma,form,origchar,pos,cType,cForm,wType,tType,speaker,page
50-虎寛1792_06018,10,70,B,どぶかつちり,ドブカッチリ,どぶかっちり,ドブカッチリ,どぶかつちり,副詞,,,和,,,146
50-虎寛1792_06018,70,80,B,是,コレ,此れ,コレ,是,代名詞,,,和,会話,シテ,146
50-虎寛1792_06018,80,90,I,は,ハ,は,ワ,は,助詞-係助詞,,,和,会話,シテ,146
50-虎寛1792_06018,90,110,I,辺土,ヘンド,辺土,ヘンド,辺土,名詞-普通名詞-一般,,,漢,会話,シテ,146
50-虎寛1792_06018,110,120,I,に,ニ,に,ニ,に,助詞-格助詞,,,和,会話,シテ,146
50-虎寛1792_06018,120,140,I,住居,スマイ,住まい,スマイ,住居,名詞-普通名詞-一般,,,和,会話,シテ,146
50-虎寛1792_06018,140,160,I,致す,イタス,致す,イタス,致す,動詞-非自立可能,文語四段-サ行,連体形-一般,和,会話,シテ,146
50-虎寛1792_06018,160,180,I,勾当,コウトウ,勾当,コートー,勾当,名詞-普通名詞-一般,,,漢,会話,シテ,146
50-虎寛1792_06018,180,190,I,で,ナリ,なり,デ,で,助動詞,文語助動詞-ナリ-断定,連用形-融合,和,会話,シテ,146
50-虎寛1792_06018,190,220,I,御ざる,ゴザル,御座る,ゴザル,御ざる,動詞-非自立可能,文語四段-ラ行,終止形-一般,混,会話,シテ,146
50-虎寛1792_06018,220,230,I,。,,。,,。,補助記号-句点,,,記号,会話,シテ,146
50-虎寛1792_06018,230,250,B,今日,コンニチ,今日,コンニチ,今日,名詞-普通名詞-副詞可能,,,漢,会話,シテ,146
50-虎寛1792_06018,250,260,I,は,ハ,は,ワ,は,助詞-係助詞,,,和,会話,シテ,146
50-虎寛1792_06018,260,270,I,都,ミヤコ,都,ミヤコ,都,名詞-普通名詞-一般,,,和,会話,シテ,146
50-虎寛1792_06018,270,280,I,に,ニ,に,ニ,に,助詞-格助詞,,,和,会話,シテ,146
50-虎寛1792_06018,280,300,I,座頭,ザトウ,座頭,ザトー,座頭,名詞-普通名詞-一般,,,漢,会話,シテ,146
50-虎寛1792_06018,300,310,I,の,ノ,の,ノ,の,助詞-格助詞,,,和,会話,シテ,146
50-虎寛1792_06018,310,330,I,寄合,ヨリアイ,寄り合い,ヨリアイ,寄合,名詞-普通名詞-一般,,,和,会話,シテ,146
50-虎寛1792_06018,330,340,I,が,ガ,が,ガ,,助詞-格助詞,,,和,会話,シテ,146
50-虎寛1792_06018,340,370,I,御ざる,ゴザル,御座る,ゴザル,御ざる,動詞-非自立可能,文語四段-ラ行,連体形-一般,混,会話,シテ,146
50-虎寛1792_06018,370,380,I,程,ホド,程,ホド,程,名詞-普通名詞-副詞可能,,,和,会話,シテ,146
50-虎寛1792_06018,380,390,I,に,ニ,に,ニ,に,助詞-格助詞,,,和,会話,シテ,146
50-虎寛1792_06018,390,400,I,、,,、,,、,補助記号-読点,,,記号,会話,シテ,146
50-虎寛1792_06018,400,410,I,参,マイル,参る,マイラ,参,動詞-非自立可能,文語四段-ラ行,未然形-一般,和,会話,シテ,146
50-虎寛1792_06018,410,420,I,う,ウ,う,ウ,う,助動詞,無変化型,終止形-一般,和,会話,シテ,146
50-虎寛1792_06018,420,430,I,と,ト,と,ト,と,助詞-格助詞,,,和,会話,シテ,146
50-虎寛1792_06018,430,450,I,存る,ゾンズル,存ずる,ゾンズル,存る,動詞-一般,文語サ行変格,連体形-一般,混,会話,シテ,146
50-虎寛1792_06018,450,460,I,。,,。,,。,補助記号-句点,,,記号,会話,シテ,146
50-虎寛1792_06018,460,470,B,先,マズ,先ず,マズ,先,副詞,,,和,会話,シテ,146
50-虎寛1792_06018,470,490,I,菊都,キクイチ,キクイチ,キクイチ,菊都,名詞-固有名詞-人名-名,,,固,会話,シテ,146
50-虎寛1792_06018,490,500,I,を,ヲ,を,オ,を,助詞-格助詞,,,和,会話,シテ,146
50-虎寛1792_06018,500,530,I,呼出い,ヨビイダス,呼び出だす,ヨビイダイ,呼出い,動詞-一般,文語四段-サ行,連用形-イ音便,和,会話,シテ,146
50-虎寛1792_06018,530,540,I,て,テ,て,テ,て,助詞-接続助詞,,,和,会話,シテ,146
50-虎寛1792_06018,540,560,I,申付,モウシツケル,申し付ける,モーシツケ,申付,動詞-一般,文語下二段-カ行,未然形-一般,和,会話,シテ,146
50-虎寛1792_06018,560,570,I,う,ウ,う,ウ,う,助動詞,無変化型,終止形-一般,和,会話,シテ,146
50-虎寛1792_06018,570,580,I,。,,。,,。,補助記号-句点,,,記号,会話,シテ,146
50-虎寛1792_06018,580,620,B,やい〳〵,ヤイヤイ,やいやい,ヤイヤイ,ヤイ〳〵,副詞,,,和,会話,シテ,146
50-虎寛1792_06018,620,640,I,菊都,キクイチ,キクイチ,キクイチ,菊都,名詞-固有名詞-人名-名,,,固,会話,シテ,146
50-虎寛1792_06018,640,650,I,、,,、,,、,補助記号-読点,,,記号,会話,シテ,146
50-虎寛1792_06018,650,670,I,有る,アル,有る,アル,有る,動詞-非自立可能,文語ラ行変格,連体形-一般,和,会話,シテ,146
50-虎寛1792_06018,670,680,I,か,カ,か,カ,か,助詞-終助詞,,,和,会話,シテ,146
50-虎寛1792_06018,680,690,I,や,ヤ,や,ヤ,や,助詞-終助詞,,,和,会話,シテ,146
