sample_id,start,end,boundary,key,lForm,lemma,form,origchar,pos,cType,cForm,wType,tType,speaker,page
50-虎寛1792_01016,10,30,B,筑紫,ツクシ,ツクシ,ツクシ,筑紫,名詞-固有名詞-地名-一般,,,固,,,179
50-虎寛1792_01016,30,40,I,の,ノ,の,ノ,の,助詞-格助詞,,,和,,,179
50-虎寛1792_01016,40,60,I,おく,オク,奥,オク,おく,名詞-普通名詞-一般,,,和,,,179
50-虎寛1792_01016,60,80,B,罷出,マカリイデル,罷り出でる,マカリイデ,罷出,動詞-一般,文語下二段-ダ行,連用形-一般,和,会話,アド,179
50-虎寛1792_01016,80,100,I,たる,タリ,たり,タル,たる,助動詞,文語助動詞-タリ-完了,連体形-一般,和,会話,アド,179
50-虎寛1792_01016,100,110,I,者,モノ,者,モノ,者,名詞-普通名詞-一般,,,和,会話,アド,179
50-虎寛1792_01016,110,120,I,は,ハ,は,ワ,は,助詞-係助詞,,,和,会話,アド,179
50-虎寛1792_01016,120,130,I,、,,、,,、,補助記号-読点,,,記号,会話,アド,179
50-虎寛1792_01016,130,150,I,おく,オク,奥,オク,おく,名詞-普通名詞-一般,,,和,会話,アド,179
50-虎寛1792_01016,150,170,I,筑紫,ツクシ,ツクシ,ツクシ,筑紫,名詞-固有名詞-地名-一般,,,固,会話,アド,179
50-虎寛1792_01016,170,180,I,の,ノ,の,ノ,の,助詞-格助詞,,,和,会話,アド,179
50-虎寛1792_01016,180,190,I,御,オ,御,オ,御,接頭辞,,,和,会話,アド,179
50-虎寛1792_01016,190,210,I,百姓,ヒャクショウ,百姓,ヒャクショー,百姓,名詞-普通名詞-一般,,,漢,会話,アド,179
50-虎寛1792_01016,210,220,I,で,ナリ,なり,デ,で,助動詞,文語助動詞-ナリ-断定,連用形-融合,和,会話,アド,179
50-虎寛1792_01016,220,250,I,御座る,ゴザル,御座る,ゴザル,御座る,動詞-非自立可能,文語四段-ラ行,終止形-一般,混,会話,アド,179
50-虎寛1792_01016,250,260,I,。,,。,,。,補助記号-句点,,,記号,会話,アド,179
50-虎寛1792_01016,260,280,B,毎年,マイネン,毎年,マイネン,毎年,名詞-普通名詞-副詞可能,,,漢,会話,アド,179
50-虎寛1792_01016,280,310,I,上とう,ウエトウ,上頭,ウエトー,上とう,名詞-普通名詞-一般,,,混,会話,アド,179
50-虎寛1792_01016,310,320,I,へ,ヘ,へ,エ,へ,助詞-格助詞,,,和,会話,アド,179
50-虎寛1792_01016,320,330,I,御,ミ,御,ミ,御,接頭辞,,,和,会話,アド,179
50-虎寛1792_01016,330,350,I,年貢,ネング,年貢,ネング,年貢,名詞-普通名詞-一般,,,漢,会話,アド,179
50-虎寛1792_01016,350,360,I,と,ト,と,ト,と,助詞-格助詞,,,和,会話,アド,179
50-虎寛1792_01016,360,370,I,致,イタス,致す,イタイ,致,動詞-非自立可能,文語四段-サ行,連用形-イ音便,和,会話,アド,179
50-虎寛1792_01016,370,380,I,て,テ,て,テ,て,助詞-接続助詞,,,和,会話,アド,179
50-虎寛1792_01016,380,390,I,、,,、,,、,補助記号-読点,,,記号,会話,アド,179
50-虎寛1792_01016,390,410,I,唐物,トウモツ,唐物,トーモッ,唐物,名詞-普通名詞-一般,,,漢,会話,アド,179
50-虎寛1792_01016,410,420,I,の,ノ,の,ノ,の,助詞-格助詞,,,和,会話,アド,179
50-虎寛1792_01016,420,430,I,数,カズ,数,カズ,数,名詞-普通名詞-一般,,,和,会話,アド,179
50-虎寛1792_01016,430,440,I,を,ヲ,を,オ,を,助詞-格助詞,,,和,会話,アド,179
50-虎寛1792_01016,440,460,I,揃へ,ソロエル,揃える,ソロエ,揃へ,動詞-一般,文語下二段-ハ行,連用形-一般,和,会話,アド,179
50-虎寛1792_01016,460,470,I,て,テ,て,テ,て,助詞-接続助詞,,,和,会話,アド,179
50-虎寛1792_01016,470,480,I,上,アゲル,上げる,アゲ,上,動詞-非自立可能,文語下二段-ガ行,未然形-一般,和,会話,アド,179
50-虎寛1792_01016,480,510,I,まする,マス,ます,マスル,まする,助動詞,助動詞-マス,終止形-一般,和,会話,アド,179
50-虎寛1792_01016,510,520,I,。,,。,,。,補助記号-句点,,,記号,会話,アド,179
50-虎寛1792_01016,520,530,B,又,マタ,又,マタ,又,接続詞,,,和,会話,アド,179
50-虎寛1792_01016,530,550,I,当年,トウネン,当年,トーネン,当年,名詞-普通名詞-一般,,,漢,会話,アド,179
50-虎寛1792_01016,550,560,I,も,モ,も,モ,も,助詞-係助詞,,,和,会話,アド,179
50-虎寛1792_01016,560,570,I,持,モツ,持つ,モッ,持,動詞-一般,文語四段-タ行,連用形-促音便,和,会話,アド,179
50-虎寛1792_01016,570,580,I,て,テ,て,テ,て,助詞-接続助詞,,,和,会話,アド,179
50-虎寛1792_01016,580,600,I,登る,ノボル,上る,ノボル,登る,動詞-一般,文語四段-ラ行,連体形-一般,和,会話,アド,179
50-虎寛1792_01016,600,610,I,所,トコロ,所,トコロ,所,名詞-普通名詞-副詞可能,,,和,会話,アド,179
50-虎寛1792_01016,610,620,I,で,ナリ,なり,デ,で,助動詞,文語助動詞-ナリ-断定,連用形-融合,和,会話,アド,179
