sample_id,start,end,boundary,key,lForm,lemma,form,origchar,pos,cType,cForm,wType,tType,speaker,page
50-虎寛1792_07011,10,50,B,しやてい,シャテイ,舎弟,シャテー,しやてい,名詞-普通名詞-一般,,,漢,,,243
50-虎寛1792_07011,50,60,B,是,コレ,此れ,コレ,是,代名詞,,,和,会話,シテ,243
50-虎寛1792_07011,60,70,I,は,ハ,は,ワ,は,助詞-係助詞,,,和,会話,シテ,243
50-虎寛1792_07011,70,80,I,此,コノ,此の,コノ,此,連体詞,,,和,会話,シテ,243
50-虎寛1792_07011,80,100,I,当り,アタリ,辺り,アタリ,当り,名詞-普通名詞-副詞可能,,,和,会話,シテ,243
50-虎寛1792_07011,100,110,I,に,ニ,に,ニ,に,助詞-格助詞,,,和,会話,シテ,243
50-虎寛1792_07011,110,130,I,住居,スマイ,住まい,スマイ,住居,名詞-普通名詞-一般,,,和,会話,シテ,243
50-虎寛1792_07011,130,150,I,致す,イタス,致す,イタス,致す,動詞-非自立可能,文語四段-サ行,連体形-一般,和,会話,シテ,243
50-虎寛1792_07011,150,160,I,者,モノ,者,モノ,者,名詞-普通名詞-一般,,,和,会話,シテ,243
50-虎寛1792_07011,160,170,I,で,ナリ,なり,デ,で,助動詞,文語助動詞-ナリ-断定,連用形-融合,和,会話,シテ,243
50-虎寛1792_07011,170,200,I,御座る,ゴザル,御座る,ゴザル,御座る,動詞-非自立可能,文語四段-ラ行,終止形-一般,混,会話,シテ,243
50-虎寛1792_07011,200,210,I,。,,。,,。,補助記号-句点,,,記号,会話,シテ,243
50-虎寛1792_07011,210,220,B,某,ソレガシ,某,ソレガシ,某,代名詞,,,和,会話,シテ,243
50-虎寛1792_07011,220,230,I,兄,アニ,兄,アニ,兄,名詞-普通名詞-一般,,,和,会話,シテ,243
50-虎寛1792_07011,230,240,I,を,ヲ,を,オ,を,助詞-格助詞,,,和,会話,シテ,243
50-虎寛1792_07011,240,250,I,一,イチ,一,イチ,一,名詞-数詞,,,漢,会話,シテ,243
50-虎寛1792_07011,250,260,I,人,ニン,人,ニン,人,接尾辞-名詞的-一般,,,漢,会話,シテ,243
50-虎寛1792_07011,260,270,I,持,モツ,持つ,モッ,持,動詞-一般,文語四段-タ行,連用形-促音便,和,会話,シテ,243
50-虎寛1792_07011,270,280,I,て,テ,て,テ,て,助詞-接続助詞,,,和,会話,シテ,243
50-虎寛1792_07011,280,310,I,御ざる,ゴザル,御座る,ゴザル,御ざる,動詞-非自立可能,文語四段-ラ行,連体形-一般,混,会話,シテ,243
50-虎寛1792_07011,310,320,I,が,ガ,が,ガ,が,助詞-接続助詞,,,和,会話,シテ,243
50-虎寛1792_07011,320,330,I,、,,、,,、,補助記号-読点,,,記号,会話,シテ,243
50-虎寛1792_07011,330,350,I,あれ,アレ,彼れ,アレ,あれ,代名詞,,,和,会話,シテ,243
50-虎寛1792_07011,350,360,I,へ,ヘ,へ,エ,へ,助詞-格助詞,,,和,会話,シテ,243
50-虎寛1792_07011,360,380,I,さへ,サエ,さえ,サエ,さへ,助詞-副助詞,,,和,会話,シテ,243
50-虎寛1792_07011,380,400,I,参れ,マイル,参る,マイレ,参れ,動詞-非自立可能,文語四段-ラ行,已然形-一般,和,会話,シテ,243
50-虎寛1792_07011,400,410,I,ば,バ,ば,バ,ば,助詞-接続助詞,,,和,会話,シテ,243
50-虎寛1792_07011,410,420,I,、,,、,,、,補助記号-読点,,,記号,会話,シテ,243
50-虎寛1792_07011,420,430,I,私,ワタクシ,私,ワタクシ,私,代名詞,,,和,会話,シテ,243
50-虎寛1792_07011,430,440,I,の,ノ,の,ノ,の,助詞-格助詞,,,和,会話,シテ,243
50-虎寛1792_07011,440,460,I,有る,アル,有る,アル,有る,動詞-非自立可能,文語ラ行変格,連体形-一般,和,会話,シテ,243
50-虎寛1792_07011,460,470,I,名,ナ,名,ナ,名,名詞-普通名詞-一般,,,和,会話,シテ,243
50-虎寛1792_07011,470,480,I,は,ハ,は,ワ,は,助詞-係助詞,,,和,会話,シテ,243
50-虎寛1792_07011,480,500,I,申さ,モウス,申す,モーサ,申さ,動詞-非自立可能,文語四段-サ行,未然形-一般,和,会話,シテ,243
50-虎寛1792_07011,500,520,I,いで,イデ,いで,イデ,いで,助詞-接続助詞,,,和,会話,シテ,243
50-虎寛1792_07011,520,530,I,、,,、,,、,補助記号-読点,,,記号,会話,シテ,243
50-虎寛1792_07011,530,550,I,舎弟,シャテイ,舎弟,シャテー,舎弟,名詞-普通名詞-一般,,,漢,会話,シテ,243
50-虎寛1792_07011,550,570,I,〳〵,,〳〵,,〳〵,補助記号-一般,,,記号,会話,シテ,243
50-虎寛1792_07011,570,580,I,と,ト,と,ト,と,助詞-格助詞,,,和,会話,シテ,243
50-虎寛1792_07011,580,590,I,申,モウス,申す,モース,申,動詞-非自立可能,文語四段-サ行,終止形-一般,和,会話,シテ,243
50-虎寛1792_07011,590,600,I,。,,。,,。,補助記号-句点,,,記号,会話,シテ,243
50-虎寛1792_07011,600,610,B,此,コノ,此の,コノ,此,連体詞,,,和,会話,シテ,243
50-虎寛1792_07011,610,630,I,舎弟,シャテイ,舎弟,シャテー,舎弟,名詞-普通名詞-一般,,,漢,会話,シテ,243
50-虎寛1792_07011,630,640,I,と,ト,と,ト,と,助詞-格助詞,,,和,会話,シテ,243
50-虎寛1792_07011,640,650,I,申,モウス,申す,モース,申,動詞-非自立可能,文語四段-サ行,連体形-一般,和,会話,シテ,243
50-虎寛1792_07011,650,660,I,事,コト,事,コト,事,名詞-普通名詞-一般,,,和,会話,シテ,243
50-虎寛1792_07011,660,670,I,は,ハ,は,ワ,は,助詞-係助詞,,,和,会話,シテ,243
