sample_id,start,end,boundary,key,lForm,lemma,form,origchar,pos,cType,cForm,wType,tType,speaker,page
50-虎寛1792_06016,10,20,B,お,オ,御,オ,お,接頭辞,,,和,,,134
50-虎寛1792_06016,20,40,I,ちや,チャ,茶,チャ,ちや,名詞-普通名詞-一般,,,漢,,,134
50-虎寛1792_06016,40,50,I,の,ノ,の,ノ,の,助詞-格助詞,,,和,,,134
50-虎寛1792_06016,50,70,I,みづ,ミズ,水,ミズ,みづ,名詞-普通名詞-一般,,,和,,,134
50-虎寛1792_06016,70,80,B,是,コレ,此れ,コレ,是,代名詞,,,和,会話,住持,134
50-虎寛1792_06016,80,90,I,は,ハ,は,ワ,は,助詞-係助詞,,,和,会話,住持,134
50-虎寛1792_06016,90,100,I,此,コノ,此の,コノ,此,連体詞,,,和,会話,住持,134
50-虎寛1792_06016,100,110,I,寺,テラ,寺,テラ,寺,名詞-普通名詞-一般,,,和,会話,住持,134
50-虎寛1792_06016,110,120,I,の,ノ,の,ノ,の,助詞-格助詞,,,和,会話,住持,134
50-虎寛1792_06016,120,140,I,住持,ジュウジ,住持,ジュージ,住持,名詞-普通名詞-一般,,,漢,会話,住持,134
50-虎寛1792_06016,140,150,I,で,ナリ,なり,デ,で,助動詞,文語助動詞-ナリ-断定,連用形-融合,和,会話,住持,134
50-虎寛1792_06016,150,180,I,御座る,ゴザル,御座る,ゴザル,御座る,動詞-非自立可能,文語四段-ラ行,終止形-一般,混,会話,住持,134
50-虎寛1792_06016,180,190,I,。,,。,,。,補助記号-句点,,,記号,会話,住持,134
50-虎寛1792_06016,190,210,B,明日,ミョウニチ,明日,ミョーニチ,明日,名詞-普通名詞-副詞可能,,,漢,会話,住持,134
50-虎寛1792_06016,210,220,I,は,ハ,は,ワ,は,助詞-係助詞,,,和,会話,住持,134
50-虎寛1792_06016,220,230,I,晴,ハレ,晴れ,ハレ,晴,名詞-普通名詞-一般,,,和,会話,住持,134
50-虎寛1792_06016,230,240,I,な,ナ,な,ナ,な,助詞-終助詞,,,和,会話,住持,134
50-虎寛1792_06016,240,250,I,茶,チャ,茶,チャ,茶,名詞-普通名詞-一般,,,漢,会話,住持,134
50-虎寛1792_06016,250,260,I,の,ノ,の,ノ,の,助詞-格助詞,,,和,会話,住持,134
50-虎寛1792_06016,260,270,I,客,キャク,客,キャク,客,名詞-普通名詞-一般,,,漢,会話,住持,134
50-虎寛1792_06016,270,280,I,が,ガ,が,ガ,が,助詞-格助詞,,,和,会話,住持,134
50-虎寛1792_06016,280,310,I,御座る,ゴザル,御座る,ゴザル,御座る,動詞-非自立可能,文語四段-ラ行,連体形-一般,混,会話,住持,134
50-虎寛1792_06016,310,320,I,に,ニ,に,ニ,に,助詞-格助詞,,,和,会話,住持,134
50-虎寛1792_06016,320,330,I,依,ヨル,因る,ヨッ,依,動詞-一般,文語四段-ラ行,連用形-促音便,和,会話,住持,134
50-虎寛1792_06016,330,340,I,て,テ,て,テ,て,助詞-接続助詞,,,和,会話,住持,134
50-虎寛1792_06016,340,350,I,、,,、,,、,補助記号-読点,,,記号,会話,住持,134
50-虎寛1792_06016,350,370,I,新発,シンボチ,新発意,シンボチ,新発,名詞-普通名詞-一般,,,漢,会話,住持,134
50-虎寛1792_06016,370,380,I,知,チ,知,チ,知,名詞-普通名詞-一般,,,漢,会話,住持,134
50-虎寛1792_06016,380,390,I,を,ヲ,を,オ,を,助詞-格助詞,,,和,会話,住持,134
50-虎寛1792_06016,390,420,I,呼出し,ヨビイダス,呼び出だす,ヨビイダシ,呼出し,動詞-一般,文語四段-サ行,連用形-一般,和,会話,住持,134
50-虎寛1792_06016,420,430,I,、,,、,,、,補助記号-読点,,,記号,会話,住持,134
50-虎寛1792_06016,430,450,I,野中,ノナカ,野中,ノナカ,野中,名詞-普通名詞-一般,,,和,会話,住持,134
50-虎寛1792_06016,450,460,I,へ,ヘ,へ,エ,へ,助詞-格助詞,,,和,会話,住持,134
50-虎寛1792_06016,460,480,I,清水,シミズ,清水,シミズ,清水,名詞-普通名詞-一般,,,和,会話,住持,134
50-虎寛1792_06016,480,490,I,を,ヲ,を,オ,を,助詞-格助詞,,,和,会話,住持,134
50-虎寛1792_06016,490,500,I,汲,クム,汲む,クム,汲,動詞-一般,文語四段-マ行,連体形-一般,和,会話,住持,134
50-虎寛1792_06016,500,510,I,に,ニ,に,ニ,に,助詞-格助詞,,,和,会話,住持,134
50-虎寛1792_06016,510,540,I,遣はさ,ツカワス,遣わす,ツカワサ,遣はさ,動詞-一般,文語四段-サ行,未然形-一般,和,会話,住持,134
50-虎寛1792_06016,540,550,I,う,ウ,う,ウ,う,助動詞,無変化型,終止形-一般,和,会話,住持,134
50-虎寛1792_06016,550,560,I,と,ト,と,ト,と,助詞-格助詞,,,和,会話,住持,134
50-虎寛1792_06016,560,580,I,存る,ゾンズル,存ずる,ゾンズル,存る,動詞-一般,文語サ行変格,連体形-一般,混,会話,住持,134
50-虎寛1792_06016,580,590,I,。,,。,,。,補助記号-句点,,,記号,会話,住持,134
50-虎寛1792_06016,590,630,B,なう〳〵,ノウノウ,のうのう,ノーノー,なう〳〵,副詞,,,和,会話,住持,134
50-虎寛1792_06016,630,650,I,新発,シンボチ,新発意,シボチ,新発,名詞-普通名詞-一般,,,漢,会話,住持,134
50-虎寛1792_06016,650,660,I,知,チ,知,チ,知,名詞-普通名詞-一般,,,漢,会話,住持,134
50-虎寛1792_06016,660,670,I,、,,、,,、,補助記号-読点,,,記号,会話,住持,134
50-虎寛1792_06016,670,710,I,おりやる,オリャル,おりゃる,オリャル,おりやる,動詞-一般,文語四段-ラ行,連体形-一般,和,会話,住持,134
50-虎寛1792_06016,710,720,I,か,カ,か,カ,か,助詞-終助詞,,,和,会話,住持,134
50-虎寛1792_06016,720,730,I,、,,、,,、,補助記号-読点,,,記号,会話,住持,134
50-虎寛1792_06016,730,740,I,ゐ,イル,居る,イ,ゐ,動詞-非自立可能,文語上一段-ワ行,未然形-一般,和,会話,住持,134
50-虎寛1792_06016,740,780,I,さします,サセマス,させます,サシマス,さします,助動詞,文語四段-サ行,連体形-一般,和,会話,住持,134
50-虎寛1792_06016,780,790,I,か,カ,か,カ,か,助詞-終助詞,,,和,会話,住持,134
50-虎寛1792_06016,790,800,I,。,,。,,。,補助記号-句点,,,記号,会話,住持,134
50-虎寛1792_06016,800,820,B,いや,イヤ,否,イヤ,イヤ,感動詞-一般,,,和,会話,シテ,134
50-虎寛1792_06016,820,830,I,、,,、,,、,補助記号-読点,,,記号,会話,シテ,134
50-虎寛1792_06016,830,840,I,呼,ヨブ,呼ぶ,ヨビ,呼,動詞-一般,文語四段-バ行,連用形-一般,和,会話,シテ,134
50-虎寛1792_06016,840,850,I,せ,セル,せる,セ,せ,助動詞,文語下二段-サ行,未然形-一般,和,会話,シテ,134
50-虎寛1792_06016,850,880,I,らるる,ラレル,られる,ラルル,らるゝ,助動詞,文語下二段-ラ行,連体形-一般,和,会話,シテ,134
50-虎寛1792_06016,880,900,I,さう,ソウ,そう,ソー,さう,形状詞-助動詞語幹,,,和,会話,シテ,134
50-虎寛1792_06016,900,910,I,な,ナリ,なり,ナ,な,助動詞,文語助動詞-ナリ-断定,連体形-一般,和,会話,シテ,134
50-虎寛1792_06016,910,920,I,。,,。,,。,補助記号-句点,,,記号,会話,シテ,134
50-虎寛1792_06016,920,940,B,はあ,ハア,はあ,ハー,ハア,感動詞-一般,,,和,会話,シテ,134
50-虎寛1792_06016,940,950,I,、,,、,,、,補助記号-読点,,,記号,会話,シテ,134
50-虎寛1792_06016,950,960,I,呼,ヨブ,呼ぶ,ヨビ,呼,動詞-一般,文語四段-バ行,連用形-一般,和,会話,シテ,134
50-虎寛1792_06016,960,970,I,せ,セル,せる,セ,せ,助動詞,文語下二段-サ行,未然形-一般,和,会話,シテ,134
50-虎寛1792_06016,970,990,I,られ,ラレル,られる,ラレ,られ,助動詞,文語下二段-ラ行,連用形-一般,和,会話,シテ,134
50-虎寛1792_06016,990,1020,I,まする,マス,ます,マスル,まする,助動詞,助動詞-マス,連体形-一般,和,会話,シテ,134
50-虎寛1792_06016,1020,1030,I,か,カ,か,カ,か,助詞-終助詞,,,和,会話,シテ,134
50-虎寛1792_06016,1030,1040,I,。,,。,,。,補助記号-句点,,,記号,会話,シテ,134
50-虎寛1792_06016,1040,1070,B,中〳〵,ナカナカ,中々,ナカナカ,中〳〵,副詞,,,和,会話,住持,134
50-虎寛1792_06016,1070,1080,I,、,,、,,、,補助記号-読点,,,記号,会話,住持,134
50-虎寛1792_06016,1080,1100,I,呼ぶ,ヨブ,呼ぶ,ヨブ,呼ぶ,動詞-一般,文語四段-バ行,終止形-一般,和,会話,住持,134
50-虎寛1792_06016,1100,1110,I,。,,。,,。,補助記号-句点,,,記号,会話,住持,134
50-虎寛1792_06016,1110,1120,B,別,ベツ,別,ベツ,別,名詞-普通名詞-形状詞可能,,,漢,会話,住持,134
50-虎寛1792_06016,1120,1130,I,成,ナリ,なり,ナル,成,助動詞,文語助動詞-ナリ-断定,連体形-一般,和,会話,住持,134
50-虎寛1792_06016,1130,1140,I,事,コト,事,コト,事,名詞-普通名詞-一般,,,和,会話,住持,134
50-虎寛1792_06016,1140,1150,I,で,ナリ,なり,デ,で,助動詞,文語助動詞-ナリ-断定,連用形-融合,和,会話,住持,134
50-虎寛1792_06016,1150,1160,I,も,モ,も,モ,も,助詞-係助詞,,,和,会話,住持,134
50-虎寛1792_06016,1160,1180,I,無い,ナイ,無い,ナイ,無い,形容詞-非自立可能,形容詞,終止形-一般,和,会話,住持,134
50-虎寛1792_06016,1180,1190,I,。,,。,,。,補助記号-句点,,,記号,会話,住持,134
50-虎寛1792_06016,1190,1210,B,明日,ミョウニチ,明日,ミョーニチ,明日,名詞-普通名詞-副詞可能,,,漢,会話,住持,134
50-虎寛1792_06016,1210,1220,I,は,ハ,は,ワ,は,助詞-係助詞,,,和,会話,住持,134
50-虎寛1792_06016,1220,1230,I,晴,ハレ,晴れ,ハレ,晴,名詞-普通名詞-一般,,,和,会話,住持,134
50-虎寛1792_06016,1230,1240,I,な,ナ,な,ナ,な,助詞-終助詞,,,和,会話,住持,134
50-虎寛1792_06016,1240,1270,I,茶の湯,チャノユ,茶の湯,チャノユ,茶の湯,名詞-普通名詞-一般,,,混,会話,住持,134
50-虎寛1792_06016,1270,1280,I,を,ヲ,を,オ,を,助詞-格助詞,,,和,会話,住持,134
50-虎寛1792_06016,1280,1300,I,する,スル,為る,スル,する,動詞-非自立可能,文語サ行変格,連体形-一般,和,会話,住持,134
50-虎寛1792_06016,1300,1310,I,が,ガ,が,ガ,が,助詞-接続助詞,,,和,会話,住持,134
50-虎寛1792_06016,1310,1320,I,、,,、,,、,補助記号-読点,,,記号,会話,住持,134
50-虎寛1792_06016,1320,1330,I,茶,チャ,茶,チャ,茶,名詞-普通名詞-一般,,,漢,会話,住持,134
50-虎寛1792_06016,1330,1340,I,は,ハ,は,ワ,は,助詞-係助詞,,,和,会話,住持,134
