sample_id,start,end,boundary,key,lForm,lemma,form,origchar,pos,cType,cForm,wType,tType,speaker,page
50-虎寛1792_06012,10,50,B,そうはち,ソウハチ,ソウハチ,ソーハチ,そうはち,名詞-固有名詞-人名-名,,,固,,,99
50-虎寛1792_06012,50,60,B,是,コレ,此れ,コレ,是,代名詞,,,和,会話,主,99
50-虎寛1792_06012,60,70,I,は,ハ,は,ワ,は,助詞-係助詞,,,和,会話,主,99
50-虎寛1792_06012,70,80,I,此,コノ,此の,コノ,此,連体詞,,,和,会話,主,99
50-虎寛1792_06012,80,100,I,当り,アタリ,辺り,アタリ,当り,名詞-普通名詞-副詞可能,,,和,会話,主,99
50-虎寛1792_06012,100,110,I,に,ニ,に,ニ,に,助詞-格助詞,,,和,会話,主,99
50-虎寛1792_06012,110,130,I,住居,スマイ,住まい,スマイ,住居,名詞-普通名詞-一般,,,和,会話,主,99
50-虎寛1792_06012,130,150,I,致す,イタス,致す,イタス,致す,動詞-非自立可能,文語四段-サ行,連体形-一般,和,会話,主,99
50-虎寛1792_06012,150,160,I,者,モノ,者,モノ,者,名詞-普通名詞-一般,,,和,会話,主,99
50-虎寛1792_06012,160,170,I,で,ナリ,なり,デ,で,助動詞,文語助動詞-ナリ-断定,連用形-融合,和,会話,主,99
50-虎寛1792_06012,170,200,I,御座る,ゴザル,御座る,ゴザル,御座る,動詞-非自立可能,文語四段-ラ行,終止形-一般,混,会話,主,99
50-虎寛1792_06012,200,210,I,。,,。,,。,補助記号-句点,,,記号,会話,主,99
50-虎寛1792_06012,210,220,B,某,ソレガシ,某,ソレガシ,某,代名詞,,,和,会話,主,99
50-虎寛1792_06012,220,240,I,存る,ゾンズル,存ずる,ゾンズル,存る,動詞-一般,文語サ行変格,連体形-一般,混,会話,主,99
50-虎寛1792_06012,240,260,I,子細,シサイ,子細,シサイ,子細,名詞-普通名詞-形状詞可能,,,漢,会話,主,99
50-虎寛1792_06012,260,270,I,有,アル,有る,アッ,有,動詞-非自立可能,文語ラ行変格,連用形-促音便,和,会話,主,99
50-虎寛1792_06012,270,280,I,て,テ,て,テ,て,助詞-接続助詞,,,和,会話,主,99
50-虎寛1792_06012,280,290,I,、,,、,,、,補助記号-読点,,,記号,会話,主,99
50-虎寛1792_06012,290,310,I,出家,シュッケ,出家,シュッケ,出家,名詞-普通名詞-サ変可能,,,漢,会話,主,99
50-虎寛1792_06012,310,320,I,と,ト,と,ト,と,助詞-格助詞,,,和,会話,主,99
